$ACROBAT	Acrobat
$ATHLETICS_DESC	The Athletics skill trains and conditions one for running and swimming. Skilled athletes move short and long distances over land with speed and efficiency, and they also swim swiftly underwater.
$AXE_DESC	The Axe skill helps a user wield heavy chopping weapons like war axes and battleaxes more effectively.
$BLOCK_DESC	The Block skill allows one to use shields to block any melee attack. Shields will not protect you from ranged attacks (either magical or otherwise). A successful block removes all damage from the attack.
$BLUNT_DESC	The Blunt skill makes you more effective when using heavy bashing weapons like maces, hammers, clubs, or staves.
$HEAVY_ARMOR_DESC	The Heavy Armor skill is used to move and defend while wearing massive and rigid armors like iron, steel, silver, Dwemer, ebony, and Daedric armor. To use any style of armor effectively, the wearer must be trained, conditioned, and skilled in its use.
$BLADE_DESC	The Blade skill lets one use broadswords, sabers, longswords, claymores, katanas, and dai-katanas effectively. The higher the skill, the more likely an attack is to hit an enemy.
$MEDIUM_ARMOR_DESC	The Medium Armor skill lets one move and defend while wearing durable but flexible armors like chain, scale, bonemold, and Orcish armor. To use any style of armor effectively, the wearer must be trained, conditioned, and skilled in its use.
$POLEARMS_DESC	The Spear skill permits effective use of long-hafted thrusting weapons like spears and halberds.
$ALCHEMY	Alchemy
$ALTERATION	Alteration
$CONJURATION	Conjuration
$DESTRUCTION	Destruction
$ENCHANT	Enchant
$ILLUSION	Illusion
$MYSTICISM	Mysticism
$RESTORATION	Restoration
$UNARMORED	Unarmored
$ALCHEMY_DESC	Alchemy allows you to identify magical properties in ingredients and create potions to generate useful temporary or onetime effects, such as healing, curing disease, water-walking, magical shielding, and fortifying bodily attributes. A higher Alchemy skill allows you to see more effects of ingredients when you hover over them with the cursor, and therefore allows you to put these effects to use in potion-making.
$ALTERATION_DESC	Students of the College of Alteration manipulate the physical world and its natural properties. Alteration effects include water breathing and walking, jumping, levitating, burdening, opening and locking, and creating shield barriers against physical and elemental damage.
$CONJURATION_DESC	The spell effects of the College of Conjuration include the mental domination of mundane and magical creatures, summoning of otherworldly weapons and armor, and summoning of Daedric or undead servants and powers to serve and protect the caster.
$DESTRUCTION_DESC	The Destruction skill is the mastery of the spell effects of the College of Destruction. Their spells harm living and unliving things, and include elemental damage, draining, damaging, vulnerability, and disintegration magical effects.
$ENCHANT_DESC	Enchanting is the process of permanently applying a magical effect to an item by harnessing the power of a creature's soul. This skill governs the creation, use, and recharging of enchanted items. Skilled enchanters are more likely to be successful at creating new items, their enchanted items use less power and are recharged more efficiently by soul gems.
$ILLUSION_DESC	The effects of the College of Illusion spells alter the perceptions and thoughts of living beings. Illusion effects include blindness, illumination, paralysis, silence, calmness, enragement, charm, distract, camouflage, and invisibility.
$MYSTICISM_DESC	The spells of the College of Mysticism shape and focus otherworldly forces to bind souls in gems, teleport the caster's body, manipulate the world with telekinesis, absorb or reflect magical energies, and sense unseen objects at a distance.
$RESTORATION_DESC	Adepts of the College of Restoration heal, restore, and fortify the body's attributes and abilities, cure disease, and protect it from other malign influences. Restoration spells can also augment strength, endurance, intelligence, agility, and other bodily attributes.
$UNARMORED_DESC	The Unarmored skill lets one avoid or reduce injury during combat while not wearing any armor by evading, deflecting, or absorbing blows. Those versed in this skill are better defended while wearing no armor.
$ACROBATICS	Acrobatics
$HAND_TO_HAND	Hand To Hand
$LIGHT_ARMOR	Light Armor
$MARKSMAN	Marksman
$MERCANTILE	Mercantile
$SECURITY	Security
$SHORT_BLADE	Short Blade
$SNEAK	Sneak
$SPEECHCRAFT	Speechcraft
$ACROBATICS_DESC	The Acrobatics skill involves jumping, climbing, and avoiding damage from falls. The higher one's Acrobatics, the higher one can jump vertically, the farther one can jump horizontally, and the greater the height one may fall from (or jump down on purpose).
$HAND_TO_HAND_DESC	The Hand-to-hand skill is the martial art of unarmed combat. Hand-to-hand attacks damage only the Fatigue of a standing opponent, but they damage Health when a target has been knocked unconscious by Fatigue loss.
$LIGHT_ARMOR_DESC	The Light Armor skill lets one move and defend while wearing light-weight, flexible armors like leather, boiled leather, fur, chitin, and glass. To use any style of armor effectively, the wearer must be trained, conditioned, and skilled in its use.
$MARKSMAN_DESC	The Marksman skill affects the use of ranged weapons such as the short bow, long bow, crossbow, dart, throwing star, and throwing knife. Though governed by the Agility attribute, weapons under the Marksman skill also receive a bonus damage modifier from the Strength attribute.
$MERCANTILE_DESC	The Mercantile skill is the art of buying low and selling high. This skill guarantees lower initial prices for goods, equipment, and services, and improves chances of getting better deals by bargaining.
$SECURITY_DESC	The Security skill lets you open locked doors and containers with lockpicks, disarm traps with probes, and re-seal sealed documents after reading them. This skill is essential for agents and thieves alike. Unlocking locked objects is a crime, so make sure you don't let anyone see you do it.
$SHORT_BLADE_DESC	Characters with great Short Blade skill are more effective with short, quick, thrusting weapons like daggers, tantos, short swords, and wakizashis.
$SNEAK_DESC	The Sneak discipline is the art of moving unseen and unheard. Skilled sneaks are also adept pickpockets. Note that the skill does not improve simply from use and having the "sneak icon" on the screen. Despite the icon display, the skill only improves when within the detection range of a creature where they would notice the player. Sneak is a very useful skill, as it allows for critical hits.
$SPEECHCRAFT_DESC	Those skilled in the art of Speechcraft influence others by admiring, intimidating, and taunting them. Listeners are more willing to divulge information or to entrust important tasks to the skilled speaker.
$SPECIALIZATION	SPECIALIZATION
$COMBAT	Combat
$MAGIC	Magic
$STEALTH	Stealth
$MAJOR_SKILLS	MAJOR SKILLS
$SKILL_DEFAULT_DESC	Hover over a skill or attribute to view its description.
$HEALTH_REGEN	Health Regen
$MAGICKA_REGEN	Magicka Regen
$STAMINA_REGEN	Stamina Regen
$CARRY_WEIGHT	Carry Weight
$SELECT_CLASS	SELECT CLASS
$CREATE_CLASS	CREATE CLASS
$SPEC_SKILL_HEADER	SPECIALIZATION AND MAJOR SKILLS
$SPEC_SKILL_SUBHEADER	Skills under your specialization increase faster. Choose 7 skills to start with a +5 boost.
$CUSTOM_NAME_HEADER	NAME YOUR CLASS
$ATTR_HEADER	ATTRIBUTES
$ATTR_SUBHEADER	Choose two favored attributes and gain +10 to each.
$STAT_HEADER	TOTAL STATS
